pid	age	sex
306	47	1
306		
306		
306		
306		
306		
306		
306		
306		
306		
306		
306		
866	32	1
866		
866		
866		
866		
866		
866		
866		
866		
866		
866		
896	32	1
896		
896		
896		
896		
896		
896		
896		
896		
896		
896		
896		
896		
906	57	1
906		
906		
906		
906		
906		
906		
906		
906		
906		
906		
906		
906		
912	38	1
912		
912		
912		
912		
912		
912		
912		
920	50	2
920		
920		
920		
920		
920		
920		
920		
920		
920		
920		
920		
920		
920		
921	63	2
921		
921		
921		
921		
921		
921		
921		
921		
921		
921		
921		
921		
924	67	1
924		
924		
924		
924		
924		
924		
924		
924		
924		
924		
925	64	2
925		
925		
925		
925		
925		
925		
925		
925		
925		
925		
925		
925		
925		
925		
926	36	1
926		
926		
926		
926		
926		
926		
926		
926		
926		
926		
929	64	2
929		
929		
929		
929		
929		
929		
929		
929		
929		
929		
929		
929		
929		
930	53	2
930		
930		
930		
930		
930		
930		
930		
930		
930		
930		
930		
930		
930		
931	71	1
931		
931		
931		
931		
931		
931		
931		
931		
931		
931		
931		
931		
931		
932	60	2
932		
932		
932		
932		
932		
932		
932		
932		
932		
932		
932		
933	67	1
933		
933		
933		
933		
933		
933		
933		
933		
933		
933		
933		
933		
933		
934	68	1
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
934		
935	56	2
935		
935		
935		
935		
935		
935		
935		
935		
935		
935		
936	36	2
936		
936		
936		
936		
936		
936		
936		
936		
936		
936		
938	53	1
938		
938		
938		
938		
938		
938		
938		
938		
938		
938		
939	62	1
939		
939		
939		
939		
939		
939		
939		
939		
939		
940	50	1
940		
940		
940		
940		
940		
940		
940		
940		
940		
940		
940		
940		
940		
942	63	1
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
942		
943	32	2
943		
943		
943		
943		
943		
943		
943		
943		
943		
943		
943		
943		
943		
944	69	1
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
944		
945	65	1
945		
945		
945		
945		
945		
945		
